Date,Time,Polinka,Parking Wrońskiego,D20 - D21,GEO LO1 Geocentrum,Architecture
2024-12-18,09:40,1,0,0,91,44
2024-12-18,09:50,1,0,0,90,41
2024-12-18,10:00,0,1,0,87,40
2024-12-18,10:20,0,0,0,76,40
2024-12-18,10:30,0,0,0,72,39
2024-12-18,10:40,0,0,0,71,38
2024-12-18,10:50,0,0,0,65,39
2024-12-18,11:00,0,0,1,55,39
2024-12-18,11:10,0,0,0,51,38
2024-12-18,11:20,0,0,0,41,35
2024-12-18,11:30,1,0,0,39,36
2024-12-18,11:40,1,0,0,37,36
2024-12-18,11:50,1,0,0,36,36
2024-12-18,12:30,1,1,0,46,36
2024-12-18,12:40,0,2,0,45,37
2024-12-18,13:00,0,0,3,41,38
2024-12-18,13:10,0,0,0,40,39
2024-12-18,13:20,0,0,0,44,40
2024-12-18,13:30,0,1,0,45,39
2024-12-18,13:40,1,4,1,54,39
2024-12-18,14:00,2,8,1,63,42
